
=========================== Device: cuda:2, NVIDIA GeForce RTX 3090 ===========================

=========================== Random Seed: 777 ===========================

=========================== Training ===========================
[2023/04/02 17:22:35] 	 epoch : 001/300 	 Epoch loss:1474.292207 	 Accuracy: 0.0890
[2023/04/02 17:23:10] 	 ##### Accuracy on validation set: 0.3878 #####
[2023/04/02 17:23:10] 	 ##### Best accuracy so far: 0.0000  =>  saving model... #####
[2023/04/02 17:26:55] 	 epoch : 002/300 	 Epoch loss:1332.851725 	 Accuracy: 0.1479
[2023/04/02 17:30:41] 	 epoch : 003/300 	 Epoch loss:1270.261903 	 Accuracy: 0.1816
[2023/04/02 17:34:27] 	 epoch : 004/300 	 Epoch loss:1217.657456 	 Accuracy: 0.2129
[2023/04/02 17:38:13] 	 epoch : 005/300 	 Epoch loss:1170.219578 	 Accuracy: 0.2367
[2023/04/02 17:42:00] 	 epoch : 006/300 	 Epoch loss:1128.745888 	 Accuracy: 0.2568
[2023/04/02 17:45:46] 	 epoch : 007/300 	 Epoch loss:1097.197897 	 Accuracy: 0.2763
[2023/04/02 17:49:32] 	 epoch : 008/300 	 Epoch loss:1070.720011 	 Accuracy: 0.2901
[2023/04/02 17:53:19] 	 epoch : 009/300 	 Epoch loss:1046.903531 	 Accuracy: 0.3035
[2023/04/02 17:57:05] 	 epoch : 010/300 	 Epoch loss:1026.537097 	 Accuracy: 0.3158
[2023/04/02 17:57:41] 	 ##### Accuracy on validation set: 0.5241 #####
[2023/04/02 17:57:41] 	 ##### Best accuracy so far: 0.3878  =>  saving model... #####
[2023/04/02 18:01:26] 	 epoch : 011/300 	 Epoch loss:1007.790256 	 Accuracy: 0.3243
[2023/04/02 18:05:11] 	 epoch : 012/300 	 Epoch loss:991.122783 	 Accuracy: 0.3357
[2023/04/02 18:08:57] 	 epoch : 013/300 	 Epoch loss:976.096738 	 Accuracy: 0.3428
[2023/04/02 18:12:43] 	 epoch : 014/300 	 Epoch loss:961.103192 	 Accuracy: 0.3539
[2023/04/02 18:16:30] 	 epoch : 015/300 	 Epoch loss:946.741949 	 Accuracy: 0.3614
[2023/04/02 18:20:16] 	 epoch : 016/300 	 Epoch loss:933.346828 	 Accuracy: 0.3716
[2023/04/02 18:24:02] 	 epoch : 017/300 	 Epoch loss:919.531258 	 Accuracy: 0.3751
[2023/04/02 18:27:48] 	 epoch : 018/300 	 Epoch loss:908.147550 	 Accuracy: 0.3835
[2023/04/02 18:31:34] 	 epoch : 019/300 	 Epoch loss:896.663601 	 Accuracy: 0.3904
[2023/04/02 18:35:21] 	 epoch : 020/300 	 Epoch loss:885.602504 	 Accuracy: 0.3984
[2023/04/02 18:35:59] 	 ##### Accuracy on validation set: 0.5766 #####
[2023/04/02 18:35:59] 	 ##### Best accuracy so far: 0.5241  =>  saving model... #####
