
=========================== Device: cuda:2, NVIDIA GeForce RTX 3090 ===========================

=========================== Random Seed: 777 ===========================

=========================== Training ===========================
[2023/04/01 22:17:47] 	 epoch : 001/300 	 Epoch loss:1474.397588 	 Accuracy: 0.0889
[2023/04/01 22:18:21] 	 ##### Accuracy on validation set: 0.3880 #####
[2023/04/01 22:18:21] 	 ##### Best accuracy so far: 0.0000  =>  saving model... #####
[2023/04/01 22:22:04] 	 epoch : 002/300 	 Epoch loss:1332.859147 	 Accuracy: 0.1479
[2023/04/01 22:25:50] 	 epoch : 003/300 	 Epoch loss:1270.104563 	 Accuracy: 0.1815
[2023/04/01 22:29:35] 	 epoch : 004/300 	 Epoch loss:1217.331754 	 Accuracy: 0.2133
[2023/04/01 22:33:21] 	 epoch : 005/300 	 Epoch loss:1169.683598 	 Accuracy: 0.2371
[2023/04/01 22:37:06] 	 epoch : 006/300 	 Epoch loss:1128.179070 	 Accuracy: 0.2571
[2023/04/01 22:40:52] 	 epoch : 007/300 	 Epoch loss:1096.573128 	 Accuracy: 0.2764
[2023/04/01 22:44:38] 	 epoch : 008/300 	 Epoch loss:1070.078374 	 Accuracy: 0.2910
[2023/04/01 22:48:23] 	 epoch : 009/300 	 Epoch loss:1046.193448 	 Accuracy: 0.3040
[2023/04/01 22:52:08] 	 epoch : 010/300 	 Epoch loss:1025.742173 	 Accuracy: 0.3171
[2023/04/01 22:52:45] 	 ##### Accuracy on validation set: 0.5251 #####
[2023/04/01 22:52:45] 	 ##### Best accuracy so far: 0.3880  =>  saving model... #####
[2023/04/01 22:56:29] 	 epoch : 011/300 	 Epoch loss:1006.911562 	 Accuracy: 0.3251
[2023/04/01 23:00:14] 	 epoch : 012/300 	 Epoch loss:990.165505 	 Accuracy: 0.3364
[2023/04/01 23:04:00] 	 epoch : 013/300 	 Epoch loss:974.995118 	 Accuracy: 0.3441
[2023/04/01 23:07:46] 	 epoch : 014/300 	 Epoch loss:959.925589 	 Accuracy: 0.3550
[2023/04/01 23:11:31] 	 epoch : 015/300 	 Epoch loss:945.461135 	 Accuracy: 0.3624
[2023/04/01 23:15:16] 	 epoch : 016/300 	 Epoch loss:931.933112 	 Accuracy: 0.3730
[2023/04/01 23:19:01] 	 epoch : 017/300 	 Epoch loss:918.034686 	 Accuracy: 0.3765
[2023/04/01 23:22:46] 	 epoch : 018/300 	 Epoch loss:906.550682 	 Accuracy: 0.3853
[2023/04/01 23:26:32] 	 epoch : 019/300 	 Epoch loss:895.094642 	 Accuracy: 0.3917
[2023/04/01 23:30:17] 	 epoch : 020/300 	 Epoch loss:883.850893 	 Accuracy: 0.3996
[2023/04/01 23:30:54] 	 ##### Accuracy on validation set: 0.5782 #####
[2023/04/01 23:30:54] 	 ##### Best accuracy so far: 0.5251  =>  saving model... #####
[2023/04/01 23:34:37] 	 epoch : 021/300 	 Epoch loss:871.225875 	 Accuracy: 0.4051
[2023/04/01 23:38:22] 	 epoch : 022/300 	 Epoch loss:863.126020 	 Accuracy: 0.4087
[2023/04/01 23:42:07] 	 epoch : 023/300 	 Epoch loss:849.730983 	 Accuracy: 0.4190
[2023/04/01 23:45:53] 	 epoch : 024/300 	 Epoch loss:840.284340 	 Accuracy: 0.4230
[2023/04/01 23:49:38] 	 epoch : 025/300 	 Epoch loss:830.783540 	 Accuracy: 0.4317
[2023/04/01 23:53:23] 	 epoch : 026/300 	 Epoch loss:820.889278 	 Accuracy: 0.4386
[2023/04/01 23:57:09] 	 epoch : 027/300 	 Epoch loss:811.193212 	 Accuracy: 0.4420
[2023/04/02 00:00:54] 	 epoch : 028/300 	 Epoch loss:803.557911 	 Accuracy: 0.4458
[2023/04/02 00:04:39] 	 epoch : 029/300 	 Epoch loss:795.317201 	 Accuracy: 0.4517
[2023/04/02 00:08:25] 	 epoch : 030/300 	 Epoch loss:785.993367 	 Accuracy: 0.4579
[2023/04/02 00:09:02] 	 ##### Accuracy on validation set: 0.5951 #####
[2023/04/02 00:09:02] 	 ##### Best accuracy so far: 0.5782  =>  saving model... #####
[2023/04/02 00:12:44] 	 epoch : 031/300 	 Epoch loss:776.674803 	 Accuracy: 0.4632
[2023/04/02 00:16:29] 	 epoch : 032/300 	 Epoch loss:769.973555 	 Accuracy: 0.4664
[2023/04/02 00:20:15] 	 epoch : 033/300 	 Epoch loss:760.692320 	 Accuracy: 0.4738
[2023/04/02 00:24:00] 	 epoch : 034/300 	 Epoch loss:752.605472 	 Accuracy: 0.4767
[2023/04/02 00:27:45] 	 epoch : 035/300 	 Epoch loss:745.913512 	 Accuracy: 0.4828
[2023/04/02 00:31:31] 	 epoch : 036/300 	 Epoch loss:737.403254 	 Accuracy: 0.4876
[2023/04/02 00:35:16] 	 epoch : 037/300 	 Epoch loss:731.402373 	 Accuracy: 0.4917
[2023/04/02 00:39:01] 	 epoch : 038/300 	 Epoch loss:724.594579 	 Accuracy: 0.4944
[2023/04/02 00:42:46] 	 epoch : 039/300 	 Epoch loss:717.604625 	 Accuracy: 0.4985
[2023/04/02 00:46:31] 	 epoch : 040/300 	 Epoch loss:709.205583 	 Accuracy: 0.5056
[2023/04/02 00:47:09] 	 ##### Accuracy on validation set: 0.6311 #####
[2023/04/02 00:47:09] 	 ##### Best accuracy so far: 0.5951  =>  saving model... #####
[2023/04/02 00:50:51] 	 epoch : 041/300 	 Epoch loss:703.095884 	 Accuracy: 0.5089
[2023/04/02 00:54:36] 	 epoch : 042/300 	 Epoch loss:694.969934 	 Accuracy: 0.5182
[2023/04/02 00:58:21] 	 epoch : 043/300 	 Epoch loss:688.651819 	 Accuracy: 0.5160
[2023/04/02 01:02:07] 	 epoch : 044/300 	 Epoch loss:684.068941 	 Accuracy: 0.5202
[2023/04/02 01:05:52] 	 epoch : 045/300 	 Epoch loss:676.433655 	 Accuracy: 0.5248
[2023/04/02 01:09:38] 	 epoch : 046/300 	 Epoch loss:669.723788 	 Accuracy: 0.5293
[2023/04/02 01:13:23] 	 epoch : 047/300 	 Epoch loss:663.570478 	 Accuracy: 0.5345
[2023/04/02 01:17:08] 	 epoch : 048/300 	 Epoch loss:657.241818 	 Accuracy: 0.5376
[2023/04/02 01:20:53] 	 epoch : 049/300 	 Epoch loss:654.321396 	 Accuracy: 0.5391
[2023/04/02 01:24:38] 	 epoch : 050/300 	 Epoch loss:645.427804 	 Accuracy: 0.5452
[2023/04/02 01:25:18] 	 ##### Accuracy on validation set: 0.6333 #####
[2023/04/02 01:25:18] 	 ##### Best accuracy so far: 0.6311  =>  saving model... #####
[2023/04/02 01:28:58] 	 epoch : 051/300 	 Epoch loss:639.935225 	 Accuracy: 0.5486
